"gene","p_value","avg_log2FC","pct.1","pct.2","adj_p_value"
"COL8A1",1.70581990731079e-06,1.76671681160243,0.590909090909091,0.102564102564103,5.07889968133559e-05
"COL15A1",2.36227892155144e-06,1.90896633703676,0.5,0.0641025641025641,5.07889968133559e-05
"COL18A1",2.11662221239148e-05,0.587858079184379,0.681818181818182,0.179487179487179,0.000303382517109445
"COL9A3",6.63997294151457e-05,1.49891720341966,0.590909090909091,0.153846153846154,0.000713797091212816
"COL7A1",0.00111372096339014,0.658921762537624,0.272727272727273,0.0384615384615385,0.00957800028515522
"COL25A1",0.00152569816486459,0.843269516391373,0.227272727272727,0.0256410256410256,0.0109341701815295
"COL4A5",0.00371959235847782,1.19164803889935,0.272727272727273,0.0512820512820513,0.0228489244877923
"COL12A1",0.0057783482205326,1.13082650318777,0.636363636363636,0.307692307692308,0.0310586216853627
"COL10A1",0.00783414581327792,0.437933331086065,0.0909090909090909,0,0.0329106426952433
"COL20A1",0.00783414581327792,3.33226686699675,0.0909090909090909,0,0.0329106426952433
"COL19A1",0.00884777720935466,-1.01400559357285,0.181818181818182,0.0256410256410256,0.0329106426952433
"COL6A2",0.0098428649780583,0.521538730797036,1,0.551282051282051,0.0329106426952433
"COL4A2",0.00994972918693402,0.394398167267144,0.818181818181818,0.397435897435897,0.0329106426952433
"COL5A2",0.0113728011120634,0.583824367761172,0.863636363636364,0.448717948717949,0.0349307462727661
"COL6A1",0.012447333597112,0.462800950833267,0.954545454545455,0.525641025641026,0.0356823563117211
"COL27A1",0.0148922308251616,0.142229288285692,0.363636363636364,0.115384615384615,0.0400228703426218
"COL16A1",0.0229785566387816,0.287174600909725,0.545454545454545,0.230769230769231,0.0581222314980946
"COL4A1",0.0276810918611572,0.148716666566418,0.863636363636364,0.435897435897436,0.0661270527794311
"COL3A1",0.0301022113481071,0.540954473388017,0.909090909090909,0.5,0.0681260572615055
"COL11A1",0.0574844273953451,0.701119077756873,0.409090909090909,0.192307692307692,0.123245514670105
"COL4A3",0.0630558447149376,0.137082240928513,0.0454545454545455,0,0.123245514670105
"COL17A1",0.0630558447149376,0.823769318901385,0.0454545454545455,0,0.123245514670105
"COL21A1",0.115452862083189,0.286743253005816,0.318181818181818,0.153846153846154,0.215846655199006
"COL8A2",0.150126272427976,-1.47601310965634,0,0.0897435897435897,0.268976238100123
"COL14A1",0.180696534702238,0.561792686054945,0.363636363636364,0.205128205128205,0.291471179327538
"COL2A1",0.185469256716678,-1.75272666691174,0,0.0769230769230769,0.291471179327538
"COL6A3",0.186399735195661,1.04737705695403,0.590909090909091,0.435897435897436,0.291471179327538
"COL22A1",0.189795186538862,0.0458499961164369,0.0909090909090909,0.0256410256410256,0.291471179327538
"COL5A3",0.197542497713618,-0.016781658505396,0.227272727272727,0.102564102564103,0.292907841437434
"COL9A1",0.229844684883478,-1.7027566140506,0,0.0641025641025641,0.329444048332985
"COL5A1",0.297981343142204,-0.26344690348406,0.590909090909091,0.358974358974359,0.413328959842412
"COL24A1",0.315677874310883,-0.338550313007645,0.181818181818182,0.0897435897435897,0.418543194633863
"COL4A6",0.336693018711006,1.25906830678136,0.0454545454545455,0.0128205128205128,0.418543194633863
"COL28A1",0.349081829073833,-0.275860480991579,0.0909090909090909,0.0384615384615385,0.418543194633863
"COL11A2",0.35423373752933,0.0226351468913588,0.0454545454545455,0.0128205128205128,0.418543194633863
"COL23A1",0.35423373752933,-0.108685730477287,0.0454545454545455,0.0128205128205128,0.418543194633863
"COL4A4",0.36014181863844,-0.676953899214896,0,0.0384615384615385,0.418543194633863
"COL13A1",0.425458126494189,-0.653344358087375,0.227272727272727,0.128205128205128,0.479137458325702
"COL1A2",0.434566531969823,-0.33127487982273,0.909090909090909,0.628205128205128,0.479137458325702
"COL6A6",0.460699420081267,-0.529353349736288,0,0.0256410256410256,0.495251876587362
"COL26A1",0.662524871400905,-0.408960367395237,0.0454545454545455,0.0256410256410256,0.694843157810706
"COL1A1",0.778538152576539,-0.452038341971127,0.772727272727273,0.602564102564103,0.797074775256932
"COL9A2",0.921906453364289,-0.649669233976064,0.0454545454545455,0.0384615384615385,0.921906453364289
"COL6A5",NA,0,0,0,NA
